,fluxes,reduced_costs
ICHORT,0.0,13011.684877407955
RBK_L1,0.0,5027.862588463908
RBP4E_num1,0.0,-73.32956620318112
NTD2_num1,0.0,-621.1665191951961
NTD4_num1,0.0,1664.1535524093915
NTD5_num1,0.0,2425.377893044397
NTD6_num1,0.0,80.8007893228222
LGTHL,0.0,-264.55180606046815
PYDXPP_num1,0.0,3648.991801356431
PDXPP,0.0,3720.978025281878
HACD6_num1,0.0,2474.656772102713
ECOAH1_num1,0.0,1085.6361570865847
ECOAH2_num1,0.0,1189.5567044522613
ECOAH3_num1,0.0,1358.4796229186468
UGLT,0.0,-279.89323929379094
DXPS,0.0002835000000000024,-8127.626943442193
CDPMEK,0.0002389000000000024,-3146.598903912689
MECDPS,0.0002389000000000024,-37229.68658441475
DDGLK,0.0,2047.251157835437
XYLI2,0.0,1918.6885645890488
PMANM,0.0,-138.68588964254081
ICL,0.0,4980.777697597463
GLYCL,0.0,3102.1897138080676
CMPN,0.0,9977.81329305147
HCYSMT,0.0,1077114.2553573516
UDPG4E,0.0,1899.4728202120677
LACZ,0.0,2846.756821025449
TRE6PH,0.0,-486.23465133054515
XYLI1,0.0,-1978.6621912410292
PPC,0.40030149998125647,-28.21610798630249
ALDD4,0.0,-2.0000000000035527
G3PT_num1,0.0,1131.7223381908075
CINNDO,0.0,-877.0538838247357
DHPPD,0.0,1307.4939926060142
DHCIND,0.0,-457.4041818522764
CITL,0.0,2667.1045619226843
GOFUCR,0.0,-1718.0540149929493
PYDXK_num1,0.0,-1580.2773158501368
GTPCII2,4.459999999999999e-05,-24055.918055747057
URIC,0.0,22832.060418841123
SADT2,0.024748199999999995,-817.2305009783413
LCARS,0.0,-285.23534123781064
ALCD19_num1,0.0,961.6952158202803
RMPA,0.0,6613.233546376763
SBTPD,0.0,2843.8454389767103
PFK_2,0.0,-1156.2370250123458
GLTPD,0.0,2163.2385249746403
TGBPA_num1,0.0,123.37681401374539
MANAO,0.0,685.7811295534303
TAGURr,0.0,991.8733013048877
PGLYCP,0.0,-617.3400631399697
GLXCL,0.0,667.100826222745
TARTD,0.0,369.5999423365222
GLCRAL,0.0,2448.8152945568218
KAS14_num1,0.0,1839.235349118262
EDTXS1,0.0,572512.3887615199
EDTXS2,0.0,-394.0050592378757
EDTXS3,0.0,610225.9630172108
EDTXS4,0.0,104710.52017718184
EX_tmao_e,0.0,-2.0
NNDPR,0.00022780000000000022,-9416.716019245467
HACD4_num1,0.0,2146.428386290576
HACD7_num1,0.0,2067.4965528301145
AACPS1,0.0,-2287.7202182372985
SDPDS,0.0370949,-14.746007333829425
DMSOR1_num1,0.0,920.8514012701344
DKGLCNR2y,0.0,-856.4275206601706
2DGULRy,0.0,-567.1647397802262
RZ5PP,0.0,-392.36725647690486
NTD9_num1,0.0,1411.5766478154474
NTD10,0.0,5787.932386284339
ADPT,0.08428510936016322,-936.1765470276159
ADK1,0.7564586561609764,-52.28710013232558
OCTDPS,2.23e-05,-15519.597164361563
EX_26dap__M_e,0.0,12791.763484745761
EX_acnam_e,0.0,17457.198845446797
EX_amp_e,0.0,26922.94976204143
EX_dha_e,4.470927322821767,-2.0
EX_fuc__L_e,0.0,96.37743496060257
EX_glyald_e,0.0,485.9387190059701
