,MW,kcat,kcat_MW
RNTR1c2_num2,242.4248,49229.87641,203.0727731
RNTR1c2_num3,242.3881,49229.87641,203.1035204
RNTR1c2_num4,179.7453,49229.87641,273.8868633
RNTR2c2_num1,242.4248,30111.14447,124.2081853
RNTR2c2_num2,242.3881,30111.14447,124.2269916
RNTR2c2_num3,179.7453,30111.14447,167.5211784
RNTR2c2_num4,179.7821,30111.14447,167.4868881
RNTR3c2_num1,179.7453,34677.14107,192.9237709
RNTR3c2_num2,242.4248,34677.14107,143.0428779
RNTR3c2_num3,242.3881,34677.14107,143.064536
RNTR3c2_num4,179.7821,34677.14107,192.8842809
RNTR4c2_num1,179.7821,16403.76147,91.24246224
RNTR4c2_num2,242.4248,16403.76147,67.66536043
RNTR4c2_num3,242.3881,16403.76147,67.67560565
RNTR4c2_num4,179.7453,16403.76147,91.26114268
FLDR2_num1,47.4511,47286.67079,996.5347651
FLDR2_num2,47.4879,47286.67079,995.7625161
FESR,24.8826,71840.53476,2887.179586
OXCOAHDH,73.0026,73883.66933,1012.069013
DHACOAH,27.2374,23116.39998,848.7006829
THFAT,90.6332,30546.82446,337.0379117
FOMETRi,21.1054,13204.69489,625.6548035
GDPTPDP,79.3424,184851.3609,2329.792909
COLIPAKpp,26.7591,30763.48947,1149.645895
MPTSS,53.4377,6120,114.5258872
CPMPS,142.1499,19871.43998,139.7921489
LIPOCT,23.8825,9300.465425,389.4259573
LIPOS,72.1434,9300.554147,128.9176023
OCTNLL,37.9259,22382.26906,590.1578884
LIPATPT,37.9259,25688.03264,677.3216361
LIPAMPL,37.9259,15754.36386,415.3985498
ALDD19xr,214.7965,24043.86239,111.9378686
MMM,155.7425,728300.542,4676.312131
MOGDS,21.6429,20487.08051,946.5959049
WCOS,88.1345,78540.19837,891.1402274
VPAMTr,46.7112,20916.2244,447.7775009
3OXCOAT,42.2765,24123.2729,570.6071434
2DGULRGx,70.791,17496.28312,247.1540608
2DGULRGy,70.791,9611.080776,135.766987
AP4AS,115.6531,23738.36358,205.2548836
13PPDH2,84.194,9783.379271,116.2004332
APCS,64.6428,13709.81887,212.0857833
GHBDHx,124.6326,21755.70782,174.5587256
APPLDHr,309.6976,10147.77107,32.76670878
G2PP,29.1721,10610.83138,363.7321749
DHNPA2r,108.9562,6120,56.1693598
SHGO,46.0819,22357.77247,485.17471
NADHXD,54.6503,65061.63673,1190.508318
NADPHHR,142.13,36321.85019,255.5537198
NADPHHS,142.13,34672.70059,243.9506127
NADHHS,142.13,309125.5263,2174.949175
NADHXE,54.6503,13737.72351,251.3750796
PYK2,205.4286,27680.85888,134.7468604
PYK3,205.4286,45020.63808,219.1546751
PYK4,205.4286,23979.27789,116.7280403
NADPHXD,54.6503,10822.86747,198.0385738
NADHHR,142.13,18063.29674,127.0899651
NADPHXE,54.6503,21725.95795,397.5450812
FE3DHBZS3R,28.8716,10690.26984,370.2693941
DXYLTD_num1,69.3992,77138.03722,1111.511908
DXYLTD_num2,70.0168,77138.03722,1101.70755
2DDARAA_num1,32.7217,28422.21991,868.6046235
2DDARAA_num2,130.1216,28422.21991,218.4281465
GNP_num1,24.6643,22285.81762,903.5657862
GNP_num2,20.7798,22285.81762,1072.475078
ALLTAMH2,91.388,218031.9588,2385.783241
UGCIAMH,28.7304,257942.8563,8978.046122
