,tyr:php,AG:GD=3:1,No.0glc,No.0xyl,AG:GD=2:1,No.1glc,No.1xyl,AG:GD=1:1,No.2glc,No.2xyl,AG:GD=1:2,No.3glc,No.3xyl,No.4glc,No.4xyl
53,0.01:0.063,0.10816043421107224,,,1.0686634084966045,2.988878578953375,6.0,1.9969033401237084,4.03813436605772,6.0,1.9830061814816418,5.052527025503847,6.0,7.799540703179133,6.0
54,0.01:0.064,0.10811924427969188,,,1.0686176568630117,2.9905501866669235,6.0,1.9968601302467732,4.039801048051579,6.000000000000533,1.982962971604593,5.054195511533303,6.0,7.801210133046509,6.0
55,0.01:0.065,0.10807805434831153,,,1.0685719052287368,2.9922218518753647,6.0,1.996816920370179,4.04146767254967,6.0,1.9829197617282261,5.05586399756314,6.0,7.802879562914642,6.0
56,0.01:0.066,0.10803686441693117,,,1.0685261535955988,2.993893488336359,6.0,1.9967737104940397,4.043134354543852,6.000000000001676,1.9828765518520868,5.057532483593469,6.0,7.8045489927829745,6.0
57,0.01:0.067,0.10799567448532343,,,1.0684804019621197,2.995565096049665,6.0,1.9967305006174456,4.044801007790234,6.000000000002687,1.9828333419754927,5.059200969623312,6.0,7.806218422650858,6.0
58,0.01:0.068,0.10795448455428414,,,1.0684346503276174,2.9972367325110447,6.0,1.9966872907409652,4.046467661035514,6.000000000001628,1.9827901320988985,5.060869455653265,6.0,7.8078878525187285,6.0
59,0.01:0.069,0.1079132946226764,,,1.0683888986928878,2.9989083689718012,6.0,1.9966440808648258,4.048134314280521,6.000000000000137,1.9827469222227592,5.062537941683601,6.0,7.809557282387086,6.0
60,0.01:0.06999999999999999,0.10787210469152342,,,1.0683431470588403,3.000580005433039,6.0,1.9966008709882317,4.0498009675262825,6.000000000000016,1.982703712346165,5.064206427713435,6.0,7.8112267122549595,6.0
61,0.01:0.071,0.10783091475991569,,,1.0682973954249064,3.002251641893783,6.0,1.9965576611112965,4.051467620772183,6.000000000000112,1.9826605024693436,5.065874884269213,6.0,7.812896142122563,6.0
62,0.01:0.072,0.10778972483012694,,,1.068251643790859,3.0039232783565164,6.0,1.9965144512347024,4.053134274017939,6.000000000000007,1.9826172925927494,5.067543370299049,6.0,7.814565571990441,6.0
63,0.01:0.073,0.10774853489874658,,,1.068205892156925,3.0055949148175145,6.0,1.996471241357881,4.05480092726382,6.000000000000125,1.9825740827157006,5.069214888038433,6.0,7.816237661687913,6.0
