,fluxes,equ,kcat_MW,enz
A_2HESR_num2,0.0,A_dtgcl_c + 2.0 A_gthrd_c --> A_gthox_c + 2.0 A_mercpeth_c,553.9208981,0.0
B_MEPNtex_num4,0.0,B_mepn_e --> B_mepn_p,,
B_SO4tex_num3,0.025182000000000048,B_so4_e --> B_so4_p,,
A_MLTP2,0.0,A_malthx_c + A_pi_c --> A_g1p_c + A_maltpt_c,150.4785747,0.0
B_fad_e_con_2,0.0,fad_e --> B_fad_e,,
A_CA2tex_reverse_num2,0.0,A_ca2_p --> A_ca2_e,,
B_ETOHtex_num3,0.0,B_etoh_e --> B_etoh_p,,
B_2dglc_e_con_2_reverse,0.0,B_2dglc_e --> 2dglc_e,,
B_2AGPGAT141,0.0,B_2agpg141_c + B_atp_c + B_ttdcea_c --> B_amp_c + B_pg141_c + B_ppi_c,119.52466090000001,0.0
B_g3pe_e_con_2,0.0,g3pe_e --> B_g3pe_e,,
B_FECRMUtex,0.0,B_fecrm_un_p + B_h_p --> B_fecrm_un_e + B_h_c,,
B_RMNtex_reverse_num2,0.0,B_rmn_p --> B_rmn_e,,
A_LIPOtex_reverse_num3,0.0,A_lipoate_p --> A_lipoate_e,,
B_PGLYCP,0.0,B_2pglyc_c + B_h2o_c --> B_glyclt_c + B_pi_c,386.6796359,0.0
B_DHFS,6.690000000000862e-05,B_atp_c + B_dhpt_c + B_glu__L_c --> B_adp_c + B_dhf_c + B_h_c + B_pi_c,18.23559597,3.6686489495637046e-06
B_MLTGY2pp_num1,0.0,B_murein4p3p_p --> B_anhgm3p_p + B_anhgm4p_p,1460.1178289999998,0.0
A_ACACt2pp,0.0,A_acac_p + A_h_p --> A_acac_c + A_h_c,,
B_PHETA1_num2,0.0,B_akg_c + B_phe__L_c --> B_glu__L_c + B_phpyr_c,1873.601279,0.0
A_12DGR180tipp,0.0,A_12dgr180_p --> A_12dgr180_c,,
B_GAMAN6Ptex_num1,0.0,B_gam6p_e --> B_gam6p_p,,
B_MLTGY2pp_num8,0.0,B_murein4p3p_p --> B_anhgm3p_p + B_anhgm4p_p,1886.543212,0.0
A_SBTtex_num2,0.0,A_sbt__D_e --> A_sbt__D_p,,
B_AACPS7,0.0,B_ACP_c + B_atp_c + B_ddca_c --> B_amp_c + B_ddcaACP_c + B_ppi_c,215.1392734,0.0
B_METSOX1tex_reverse_num3,0.0,B_metsox_S__L_p --> B_metsox_S__L_e,,
B_SPODMpp,0.0,2.0 B_h_p + 2.0 B_o2s_p --> B_h2o2_p + B_o2_p,610.2535462000001,0.0
A_CLPNS120pp_reverse_num1,0.0,A_clpn120_p + A_glyc_p --> 2.0 A_pg120_p,360.7857439,0.0
A_NTD11pp_num2,0.0,A_h2o_p + A_imp_p --> A_ins_p + A_pi_p,154.6535139,0.0
B_HYXNtex_reverse_num3,0.0,B_hxan_p --> B_hxan_e,,
A_ASPt2pp,0.0,A_asp__L_p + A_h_p --> A_asp__L_c + A_h_c,,
A_3OAS120_num1,0.0,A_dcaACP_c + A_h_c + A_malACP_c --> A_3oddecACP_c + A_ACP_c + A_co2_c,108.02512340000001,0.0
B_XYLUt2pp,0.0,B_h_p + B_xylu__L_p --> B_h_c + B_xylu__L_c,,
B_MDDEP4pp_num1,0.0,B_h2o_p + B_murein4px4px4p_p --> B_murein4px4p4p_p,880.0465270999999,0.0
B_EX_maltpt_e,0.0,B_maltpt_e --> ,,
A_ALDD4,0.0,A_btal_c + A_h2o_c + A_nad_c --> A_but_c + 2.0 A_h_c + A_nadh_c,,
B_ARGabcpp_num1,0.0,B_arg__L_p + B_atp_c + B_h2o_c --> B_adp_c + B_arg__L_c + B_h_c + B_pi_c,,
B_LPLIPAL1G140pp,0.0,B_1agpg140_p + B_h2o_p --> B_g3pg_p + B_h_p + B_ttdca_p,98.42498839,0.0
B_XYHDL,0.0,B_h2o_c + B_iprimv_c --> B_glc__D_c + B_xyl__D_c,330.68093369999997,0.0
A_DMSOtex_reverse_num3,0.0,A_dmso_p --> A_dmso_e,,
B_MOGDS,0.0,B_gtp_c + B_h_c + B_moco_c --> B_mocogdp_c + B_ppi_c,946.5959050000001,0.0
A_EX_glyc_e,0.0,A_glyc_e --> ,,
A_PRPPS_reverse,0.0,A_amp_c + A_h_c + A_prpp_c --> A_atp_c + A_r5p_c,284.27613310000004,0.0
B_cbl1_e_con_2,0.0,cbl1_e --> B_cbl1_e,,
B_G3PT_num1,0.0,B_glyc3p_c + B_h2o_c --> B_glyc_c + B_pi_c,324.6601868,0.0
B_G3PEtex_num4,0.0,B_g3pe_e --> B_g3pe_p,,
B_UREAtex_num2,0.0,B_urea_e --> B_urea_p,,
B_CUt2pp_num5,0.0,B_cu_c --> B_cu_p,,
A_MNLtex_reverse_num4,0.0,A_mnl_p --> A_mnl_e,,
B_ASNtex_reverse_num3,0.0,B_asn__L_p --> B_asn__L_e,,
B_mal__D_e_con_2_reverse,0.0,B_mal__D_e --> mal__D_e,,
A_H2Otex_num6,0.0,A_h2o_e --> A_h2o_p,,
A_GLYBabcpp_num2,0.0,A_atp_c + A_glyb_p + A_h2o_c --> A_adp_c + A_glyb_c + A_h_c + A_pi_c,,
B_BALAtex_reverse_num4,0.0,B_ala_B_p --> B_ala_B_e,,
B_URAtex_num1,0.0,B_ura_e --> B_ura_p,,
B_N2Otex_num1,0.0,B_n2o_e --> B_n2o_p,,
B_IPPS,0.045053100000000006,B_3mob_c + B_accoa_c + B_h2o_c --> B_3c3hmp_c + B_coa_c + B_h_c,628.2952778,7.170688940676931e-05
B_LSERDHr,0.0,B_nadp_c + B_ser__L_c --> B_2amsa_c + B_h_c + B_nadph_c,129.59567320000002,0.0
A_CPGNUtpp,0.0,A_cpgn_un_c + A_h_p --> A_cpgn_un_p + A_h_c,,
B_EX_trp__L_e,0.0,B_trp__L_e --> ,,
B_3OAS180_num2,0.0,B_h_c + B_malACP_c + B_palmACP_c --> B_3ooctdACP_c + B_ACP_c + B_co2_c,197.39086930000002,0.0
A_CLBtex_num1,0.0,A_cellb_e --> A_cellb_p,,
B_NMNtex_num2,0.0,B_nmn_e --> B_nmn_p,,
B_AB6PGH_num3,0.0,B_arbt6p_c + B_h2o_c --> B_g6p_c + B_hqn_c,787.9325151,0.0
A_NADH5_num1,0.0,A_h_c + A_nadh_c + A_q8_c --> A_nad_c + A_q8h2_c,468.9928953,0.0
B_CITt7pp,0.0,B_cit_p + B_succ_c --> B_cit_c + B_succ_p,,
A_MALDtex_num1,0.0,A_mal__D_e --> A_mal__D_p,,
B_MLTG5,0.0,B_h2o_c + B_malthp_c --> B_glc__D_c + B_malthx_c,743.2318046,0.0
B_MDDEP3pp_num1,0.0,B_h2o_p + B_murein5px4p_p --> B_murein5p4p_p,1106.796434,0.0
B_ALAALAr_reverse_num2,0.0,B_adp_c + B_alaala_c + B_h_c + B_pi_c --> 2.0 B_ala__D_c + B_atp_c,305.7158963,0.0
A_METOX2s,0.0,A_h2o2_c + A_met__L_c --> A_h2o_c + A_metsox_R__L_c,,
A_URIK1,0.0,A_atp_c + A_uri_c --> A_adp_c + A_h_c + A_ump_c,797.5797043,0.0
B_ACONTa_reverse_num1,0.0,B_acon_C_c + B_h2o_c --> B_cit_c,183.2652296,0.0
A_INDOLEtex_reverse_num3,0.0,A_indole_p --> A_indole_e,,
B_LDH_D2,0.0,B_lac__D_c + B_q8_c --> B_pyr_c + B_q8h2_c,184.1735812,0.0
A_RIBtex_reverse_num2,0.0,A_rib__D_p --> A_rib__D_e,,
A_GLYAT_reverse,0.0,A_2aobut_c + A_coa_c --> A_accoa_c + A_gly_c,580.7655388,0.0
A_GPDDA1,0.0,A_g3pc_c + A_h2o_c --> A_chol_c + A_glyc3p_c + A_h_c,380.82916639999996,0.0
A_HPPPNtex_reverse_num4,0.0,A_3hpppn_p --> A_3hpppn_e,,
A_FE3HOXabcpp,0.0,A_atp_c + A_fe3hox_p + A_h2o_c --> A_adp_c + A_fe3hox_c + A_h_c + A_pi_c,,
B_glyc__R_e_con_2_reverse,0.0,B_glyc__R_e --> glyc__R_e,,
B_udpacgal_e_con_2_reverse,0.0,B_udpacgal_e --> udpacgal_e,,
B_GSPMDS,0.0,B_atp_c + B_gthrd_c + B_spmd_c --> B_adp_c + B_gtspmd_c + B_h_c + B_pi_c,344.9954224,0.0
B_CYSTA,0.0,B_akg_c + B_cys__L_c --> B_glu__L_c + B_mercppyr_c,170.7813496,0.0
A_FALDtex_reverse_num2,0.0,A_fald_p --> A_fald_e,,
A_METtex_reverse_num1,0.0,A_met__L_p --> A_met__L_e,,
B_LALDO2x,0.0,B_h_c + B_mthgxl_c + B_nadh_c --> B_lald__D_c + B_nad_c,99.47782541,0.0
A_GLYCLTtex_num3,0.0,A_glyclt_e --> A_glyclt_p,,
B_UACGAMtex_num3,0.0,B_uacgam_e --> B_uacgam_p,,
B_TGBPA_reverse_num2,0.0,B_dhap_c + B_g3p_c --> B_tagdp__D_c,153.5220803,0.0
B_SUCptspp,0.0,B_pep_c + B_sucr_p --> B_pyr_c + B_suc6p_c,,
B_TYRPtex_reverse_num4,0.0,B_tyrp_p --> B_tyrp_e,,
A_PLIPA1E181pp,0.0,A_h2o_p + A_pe181_p --> A_2agpe181_p + A_h_p + A_ocdcea_p,140.2165416,0.0
A_GLYCAt2rpp_reverse_num2,0.0,A_glyc__R_c + A_h_c --> A_glyc__R_p + A_h_p,,
B_MEOHtrpp,0.0,B_meoh_p --> B_meoh_c,,
A_ANHGMtex_num1,0.0,A_anhgm_e --> A_anhgm_p,,
A_DXYLTD_num1,0.0,A_dxylnt_c --> A_2ddara_c + A_h2o_c,1111.511908,0.0
B_PLIPA1A140pp,0.0,B_h2o_p + B_pa140_p --> B_2tdecg3p_p + B_ttdca_p,140.21649509999997,0.0
A_METNA,0.0,A_accoa_c + A_met__L_c --> A_acmet_c + A_coa_c + A_h_c,255.84240789999998,0.0
B_GLYCLTtex_reverse_num4,0.0,B_glyclt_p --> B_glyclt_e,,
A_ACACT7r_reverse_num2,0.0,A_3ohdcoa_c + A_coa_c --> A_accoa_c + A_tdcoa_c,326.0245626,0.0
A_Ktex_num4,0.019519300000000003,A_k_e --> A_k_p,,
A_VALtex_num1,0.0,A_val__L_e --> A_val__L_p,,
A_FDMO6,0.0,A_fmnh2_c + A_o2_c + A_sulfac_c --> A_fmn_c + A_glx_c + A_h2o_c + A_h_c + A_so3_c,58.12595834,0.0
B_PGAMT,0.0,B_gam1p_c --> B_gam6p_c,757.9458412,0.0
B_EX_ins_e,0.0,B_ins_e --> ,,
A_23DAPPAtex_reverse_num4,0.0,A_23dappa_p --> A_23dappa_e,,
A_PEAMNtex_num1,0.0,A_peamn_e --> A_peamn_p,,
B_GTPCI,6.690000000000862e-05,B_gtp_c + B_h2o_c --> B_ahdt_c + B_for_c + B_h_c,0.11598582699999999,0.0005767946112934007
B_FACOAL100t2pp_num2,0.0,B_atp_c + B_coa_c + B_dca_p + B_h_p --> B_amp_c + B_dcacoa_c + B_h_c + B_ppi_c,319.3033359,0.0
A_LYStex_reverse_num3,0.0,A_lys__L_p --> A_lys__L_e,,
A_AI2tex_num2,0.0,A_mththf_e --> A_mththf_p,,
A_LEUtex_reverse_num4,0.0,A_leu__L_p --> A_leu__L_e,,
A_CDGUNPD_num3,0.0,A_cdigmp_c + A_h2o_c --> A_5pg35pg_c + A_h_c,741.2966443,0.0
A_MTRPOX,0.0,A_Nmtrp_c + A_h2o_c + A_o2_c --> A_fald_c + A_h2o2_c + A_trp__L_c,269.714978,0.0
B_DSERtex_num2,0.0,B_ser__D_e --> B_ser__D_p,,
B_23CAMPtex_num2,0.0,B_23camp_e --> B_23camp_p,,
B_ETHSO3tex_num3,0.0,B_ethso3_e --> B_ethso3_p,,
B_arbt_e_con_2_reverse,0.0,B_arbt_e --> arbt_e,,
A_CBIAT_reverse,0.0,A_adocbi_c + A_pppi_c --> A_atp_c + A_cbi_c + A_h_c,961.3350608999999,0.0
B_LPLIPAL2ATE160,0.0,B_2agpe160_c + B_pg160_c --> B_apg160_c + B_g3pe_c,696.5631298,0.0
A_PLIPA2E160pp,0.0,A_h2o_p + A_pe160_p --> A_1agpe160_p + A_h_p + A_hdca_p,141.4153507,0.0
