,flux,formula,kcat_MW,enz_useUPBCe
A_LPLIPAL2ATE141,0.0,A_2agpe141_c + A_pg141_c --> A_apg141_c + A_g3pe_c,619.903104,0.0
A_ECOAH6_num2,0.0,A_3htdcoa_c --> A_h2o_c + A_td2coa_c,229.8793029,0.0
A_IMPD,0.024322800000000002,A_h2o_c + A_imp_c + A_nad_c --> A_h_c + A_nadh_c + A_xmp_c,31.14040188,0.000781
A_CYNTt2pp,0.0,A_cynt_p + A_h_p --> A_cynt_c + A_h_c,,
B_GALCTNtex_num2,0.0,B_galctn__D_e --> B_galctn__D_p,,
A_HACD8_num2,0.0,A_3ohodcoa_c + A_h_c + A_nadh_c --> A_3hodcoa_c + A_nad_c,391.5971475,0.0
B_CS,0.10751919999985253,B_accoa_c + B_h2o_c + B_oaa_c --> B_cit_c + B_coa_c + B_h_c,362.38687989999994,0.000297
B_TAUDO,0.0,B_akg_c + B_o2_c + B_taur_c --> B_aacald_c + B_co2_c + B_h_c + B_so3_c + B_succ_c,72.68203536,0.0
A_DURIPP_reverse_num2,0.0,A_2dr1p_c + A_ura_c --> A_duri_c + A_pi_c,62.12144485,0.0
A_HPPPNtex_reverse_num3,0.0,A_3hpppn_p --> A_3hpppn_e,,
A_DAGK140,0.0,A_12dgr140_c + A_atp_c --> A_adp_c + A_h_c + A_pa140_c,237.0507025,0.0
B_NTPP8_num1,0.0,B_h2o_c + B_utp_c --> B_h_c + B_ppi_c + B_ump_c,156.5354118,0.0
B_hxa_e_con_2,0.0,hxa_e --> B_hxa_e,,
B_CYANtex_num2,0.0,B_cyan_e --> B_cyan_p,,
A_MOBDabcpp_num1,0.0,A_atp_c + A_h2o_c + A_mobd_p --> A_adp_c + A_h_c + A_mobd_c + A_pi_c,,
A_MDDEP3pp_num3,0.0,A_h2o_p + A_murein5px4p_p --> A_murein5p4p_p,549.3574467999999,0.0
B_GAL1Ptex_num3,0.0,B_gal1p_e --> B_gal1p_p,,
A_DC6PDA,0.0,A_chtbs6p_c + A_h2o_c --> A_ac_c + A_mchtbs6p_c,895.392405,0.0
A_GUACYC,0.0,A_gtp_c --> A_35cgmp_c + A_ppi_c,,
A_PNTOtex_reverse_num1,0.0,A_pnto__R_p --> A_pnto__R_e,,
B_ARBtex_num3,1000.0,B_arab__L_e --> B_arab__L_p,,
A_DIMPtex_num1,1000.0,A_dimp_e --> A_dimp_p,,
A_ATPS4rpp_num2,13.362030699292532,A_adp_c + 4.0 A_h_p + A_pi_c --> A_atp_c + A_h2o_c + 3.0 A_h_c,12744.65738,0.001048
B_OCTDPS,2.23e-05,B_frdp_c + 5.0 B_ipdp_c --> B_octdp_c + 5.0 B_ppi_c,15.33352548,1e-06
A_EX_gly_e,0.0,A_gly_e --> ,,
B_ACMAMUT,0.0,B_uacmamu_c + B_unaga_c --> B_h_c + B_udp_c + B_unagamu_c,717.3463574,0.0
B_UDPGALPpp,0.0,B_h2o_p + B_udpgal_p --> B_gal1p_p + 2.0 B_h_p + B_ump_p,248.1825256,0.0
A_METSOXR2_num3,0.0,A_metsox_R__L_c + A_trdrd_c --> A_h2o_c + A_met__L_c + A_trdox_c,347.1367592,0.0
B_uacgam_e_con_2_reverse,0.0,B_uacgam_e --> uacgam_e,,
B_ALPATE160pp,0.0,B_alpp_p + B_pe160_p --> B_2agpe160_p + B_lpp_p,197.1253164,0.0
A_ACCOAL_num2,0.0,A_atp_c + A_coa_c + A_ppa_c --> A_adp_c + A_pi_c + A_ppcoa_c,232.9645429,0.0
B_HEXt2rpp_reverse,0.0,B_h_c + B_hxa_c --> B_h_p + B_hxa_p,,
B_23CUMPtex_num2,1000.0,B_23cump_e --> B_23cump_p,,
A_SULFACtex_reverse_num2,1000.0,A_sulfac_p --> A_sulfac_e,,
A_gln__L_e_con_1,0.0,A_gln__L_e --> gln__L_e,,
B_GALCTNtex_reverse_num3,1000.0,B_galctn__D_p --> B_galctn__D_e,,
A_COBALT2tex_num3,0.0,A_cobalt2_e --> A_cobalt2_p,,
A_FORtex_num1,0.0,A_for_e --> A_for_p,,
B_EX_cbi_e,0.0,B_cbi_e --> ,,
B_EX_cobalt2_e,0.0,B_cobalt2_e --> ,,
B_DTARTD,0.0,B_tartr__D_c --> B_h2o_c + B_oaa_c,378.0153885,0.0
A_FUMtex_num3,0.0,A_fum_e --> A_fum_p,,
B_FOMETRi,0.0,B_5fthf_c + B_h_c --> B_h2o_c + B_methf_c,625.6548035000001,0.0
B_LCTSt3ipp_num2,0.0,B_h_p + B_lcts_c --> B_h_c + B_lcts_p,,
B_SUCCt2_3pp_num2,0.0,3.0 B_h_p + B_succ_p --> 3.0 B_h_c + B_succ_c,,
B_HYXNtex_reverse_num1,0.0,B_hxan_p --> B_hxan_e,,
B_SO4tex_num4,1000.0,B_so4_e --> B_so4_p,,
B_PGPP140pp_num2,0.0,B_h2o_p + B_pgp140_p --> B_pg140_p + B_pi_p,327.6573977,0.0
A_NTD9pp_num3,0.0,A_gmp_p + A_h2o_p --> A_gsn_p + A_pi_p,181.73314,0.0
B_ECOAH1_reverse_num2,0.0,B_b2coa_c + B_h2o_c --> B_3hbcoa_c,349.8163745,0.0
B_GLYAT_reverse,0.0,B_2aobut_c + B_coa_c --> B_accoa_c + B_gly_c,580.7655388,0.0
A_HG2tex_num3,1000.0,A_hg2_e --> A_hg2_p,,
A_EX_asn__L_e,0.0,A_asn__L_e --> ,,
B_ACGAL1Ptex_reverse_num2,0.0,B_acgal1p_p --> B_acgal1p_e,,
A_PSSA161,0.007521400000000001,A_cdpdhdec9eg_c + A_ser__L_c --> A_cmp_c + A_h_c + A_ps161_c,1227.23089,6e-06
A_Ftex_reverse_num3,0.0,A_f_e --> A_f_p,,
A_5DOAN,2.25e-05,A_dad_5_c + A_h2o_c --> A_5drib_c + A_ade_c,0.739099817,3e-05
B_LDH_D,0.0,B_lac__D_c + B_nad_c --> B_h_c + B_nadh_c + B_pyr_c,286.84871180000005,0.0
A_MEOHtex_reverse_num3,0.0,A_meoh_p --> A_meoh_e,,
B_PYDXNtex_reverse_num4,1000.0,B_pydxn_p --> B_pydxn_e,,
B_EX_imp_e,0.0,B_imp_e --> ,,
B_XTSNt2rpp,0.0,B_h_p + B_xtsn_p --> B_h_c + B_xtsn_c,,
B_galctn__D_e_con_2_reverse,0.0,B_galctn__D_e --> galctn__D_e,,
A_GLNtex_reverse_num1,0.0,A_gln__L_p --> A_gln__L_e,,
B_VALt3pp_num1,0.0,B_h_p + B_val__L_c --> B_h_c + B_val__L_p,,
A_Kt3pp_num4,0.0,A_h_p + A_k_c --> A_h_c + A_k_p,,
B_XYLtex_reverse_num1,0.0,B_xyl__D_p --> B_xyl__D_e,,
A_ETHSO3tex_reverse_num4,0.0,A_ethso3_p --> A_ethso3_e,,
B_UDPKAAT,0.0,B_glu__L_c + B_udpLa4o_c --> B_akg_c + B_udpLa4n_c,260.3172423,0.0
A_UDPACGALtex_num3,0.0,A_udpacgal_e --> A_udpacgal_p,,
B_UDPKAAT_reverse,0.0,B_akg_c + B_udpLa4n_c --> B_glu__L_c + B_udpLa4o_c,1059.652153,0.0
B_GLYBt2pp_num1,0.0,B_glyb_p + B_h_p --> B_glyb_c + B_h_c,,
A_DCAtex_reverse_num1,1000.0,A_dca_p --> A_dca_e,,
A_CS,1.3417027770046406,A_accoa_c + A_h2o_c + A_oaa_c --> A_cit_c + A_coa_c + A_h_c,362.38687989999994,0.003702
A_SBTtex_num3,1000.0,A_sbt__D_e --> A_sbt__D_p,,
B_FE3tex_reverse_num1,1000.0,B_fe3_p --> B_fe3_e,,
A_TMAOR2pp_num1,0.0,A_2dmmql8_c + A_h_p + A_tmao_p --> A_2dmmq8_c + A_h2o_p + A_tma_p,135.6477219,0.0
B_QUIN2tex_num4,1000.0,B_quin_e --> B_quin_p,,
A_FE3tex_reverse_num4,0.0,A_fe3_p --> A_fe3_e,,
A_cbl1_e_con_1,0.0,A_cbl1_e --> cbl1_e,,
A_ACONMT,0.0,A_acon_T_c + A_amet_c --> A_aconm_c + A_ahcys_c,6096.849031000001,0.0
B_RMNtex_num4,1000.0,B_rmn_e --> B_rmn_p,,
B_QMO3,0.0,B_mql8_c + 2.0 B_o2_c --> 2.0 B_h_c + B_mqn8_c + 2.0 B_o2s_c,1450.16652,0.0
A_psuri_e_con_1,0.0,A_psuri_e --> psuri_e,,
A_23CUMPtex_reverse_num3,0.0,A_23cump_p --> A_23cump_e,,
A_DHORTS_reverse,0.033079500000000005,A_cbasp_c + A_h_c --> A_dhor__S_c + A_h2o_c,315.24129869999996,0.000105
B_FRUtex_reverse_num1,0.0,B_fru_p --> B_fru_e,,
A_A5PISO_num2,0.0038912000000000044,A_ru5p__D_c --> A_ara5p_c,408.0725911,1e-05
B_RU5PP,0.0,B_h2o_c + B_ru5p__D_c --> B_pi_c + B_rbl__D_c,423.47891789999994,0.0
B_glcur_e_con_2,0.0,glcur_e --> B_glcur_e,,
A_MLTG2,0.0,A_h2o_c + A_maltttr_c --> A_glc__D_c + A_malttr_c,645.6642835,0.0
A_THRPtex_num4,0.0,A_thrp_e --> A_thrp_p,,
B_pydx_e_con_2,0.0,pydx_e --> B_pydx_e,,
B_23DAPPAtex_reverse_num3,0.0,B_23dappa_p --> B_23dappa_e,,
B_GUI1_reverse,0.0,B_fruur_c --> B_glcur_c,337.6229091,0.0
B_dha_e_con_2_reverse,0.0,B_dha_e --> dha_e,,
B_CYStex_reverse_num4,0.0,B_cys__L_p --> B_cys__L_e,,
B_GLYCAtex_reverse_num3,0.0,B_glyc__R_p --> B_glyc__R_e,,
A_DINStex_reverse_num4,0.0,A_din_p --> A_din_e,,
A_phe__L_e_con_1,0.0,A_phe__L_e --> phe__L_e,,
B_cu_e_con_2_reverse,0.0,B_cu_e --> cu_e,,
B_3HAD60_num2,0.0,B_3hhexACP_c --> B_h2o_c + B_thex2eACP_c,346.3309332,0.0
B_DIMPtex_reverse_num1,1000.0,B_dimp_p --> B_dimp_e,,
A_MNLtex_reverse_num2,1000.0,A_mnl_p --> A_mnl_e,,
B_EX_3hpp_e,0.0,B_3hpp_e --> ,,
A_H2tpp,1000.0,A_h2_p --> A_h2_c,,
B_gthox_e_con_2_reverse,0.0,B_gthox_e --> gthox_e,,
B_UACGAMtex_reverse_num1,0.0,B_uacgam_p --> B_uacgam_e,,
A_DAPtex_reverse_num1,0.0,A_15dap_p --> A_15dap_e,,
A_ACSERtex_num3,0.0,A_acser_e --> A_acser_p,,
B_MANGLYCtex_reverse_num1,1000.0,B_manglyc_p --> B_manglyc_e,,
